,Major,EarlyCareerPay,MidCareerPay
506,Public Management,50200,79100
507,Nuclear Medicine Technology,61700,79000
508,Apparel & Textile Manufacture,48300,78900
509,English Language & Literature,46400,78900
510,Urban Studies,51500,78900
511,Mass Communication,44800,78800
512,Forestry Management,48600,78700
513,Radio/Television & Film Production,45700,78700
514,Hospital Management,53200,78600
515,Human Resources Management (HRM),47900,78500
516,Marine Science,46100,78400
517,American Sign Language Interpreting,43100,78300
518,English & History,45700,78300
519,English Language,44600,78300
520,Cytotechnology,61900,78200
521,Geosciences,48700,78200
522,Hospital Administration,51200,78200
523,Film Production,44600,78100
524,Marine Biology,43300,78100
525,Zoology,42100,77900
526,Communication Design,51700,77800
527,Leadership,47200,77500
528,Music Technology,44800,77500
529,Musicology,40000,77500
530,Technical Writing,53300,77500
531,Agricultural Communication,44600,77400
532,Logistics Management,56300,77400
533,German Language & Literature,49400,77300
534,Administration,44600,77100
535,Apparel Merchandising,47600,77100
536,Computer Aided Drafting & Design (CADD),49100,77100
537,Organizational Leadership & Supervision,49600,77100
538,Printing Technology,46200,77100
539,Spanish Language,47700,77100
540,Multimedia,44700,77000
541,Spanish Language Teacher Education,45500,76900
542,Public Administration,46700,76900
543,Human Nutrition,48600,76900
544,Audio Engineering,48300,76800
545,Graphics Technology & Management,39500,76800
546,Physical Anthropology,52900,76800
547,Organizational Leadership,50500,76700
548,Environmental Health Science,53800,76600
549,Health Sciences,44600,76600
550,Journalism & Electronic Media,45200,76500
551,Religious Studies,43900,76300
552,Art History,46600,76200
553,Radiologic Science,57600,76200
554,3D Animation,51800,76000
555,Culture Studies,48100,75900
556,Merchandising,53100,75900
557,Administrative Management,52700,75800
558,Human Resources (HR),47300,75800
559,Liberal Arts,44500,75800
560,Adult Education & Training,48700,75600
561,Fashion Merchandising,46900,75600
562,Health & Fitness,39800,75600
563,Natural Resources,47400,75500
564,Organizational Management,48800,75500
565,Modern Languages,50300,75400
566,Natural Resource Management,46500,75400
567,Retail Management,50100,75400
568,Sociology & Anthropology,44500,75400
569,Creative Writing,45300,75200
570,Criminal Justice Administration,45700,75100
571,Ethnic Studies,47500,74900
