,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
14,Rank:165,Major:Commerce,Degree Type:Bachelors,"$66,800","$105,400",40%
15,Rank:165,Major:Rhetoric,Degree Type:Bachelors,"$51,600","$105,400",44%
16,Rank:167,Major:Business Computer Information Systems (BCIS),Degree Type:Bachelors,"$64,000","$105,300",40%
17,Rank:168,Major:Finance,Degree Type:Bachelors,"$60,200","$105,200",42%
18,Rank:169,Major:Plastics Engineering Technology,Degree Type:Bachelors,"$66,900","$105,100",28%
19,Rank:170,Major:Molecular Biology,Degree Type:Bachelors,"$54,100","$105,000",67%
20,Rank:171,Major:Environmental Engineering,Degree Type:Bachelors,"$62,600","$104,800",62%
21,Rank:171,Major:International Management,Degree Type:Bachelors,"$54,100","$104,800",51%
22,Rank:173,Major:Computer Information Systems,Degree Type:Bachelors,"$59,400","$104,700",42%
23,Rank:174,Major:Corporate Finance,Degree Type:Bachelors,"$63,600","$104,300",43%
24,Rank:175,Major:Genetics,Degree Type:Bachelors,"$52,200","$104,100",72%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:175,Major:International Business,Degree Type:Bachelors,"$55,300","$104,100",39%
1,Rank:177,Major:Agricultural Engineering (AE),Degree Type:Bachelors,"$63,100","$104,000",63%
2,Rank:178,Major:Consumer Economics,Degree Type:Bachelors,"$53,700","$103,800",40%
3,Rank:179,Major:Finance & Marketing,Degree Type:Bachelors,"$56,800","$103,700",46%
4,Rank:180,Major:Computer Information Systems (CIS),Degree Type:Bachelors,"$60,500","$103,500",47%
5,Rank:181,Major:Business Finance,Degree Type:Bachelors,"$57,200","$103,300",42%
6,Rank:182,Major:Psychobiology,Degree Type:Bachelors,"$49,600","$103,100",65%
7,Rank:182,Major:Strategic Management,Degree Type:Bachelors,"$66,200","$103,100",47%
8,Rank:182,Major:Construction Trades,Degree Type:Bachelors,"$61,900","$103,100",48%
9,Rank:185,Major:Operations Management (OM),Degree Type:Bachelors,"$61,500","$103,000",45%
10,Rank:186,Major:Entrepreneurship & Leadership,Degree Type:Bachelors,"$57,100","$102,900",43%
11,Rank:187,Major:Electrical Engineering Technology (EET),Degree Type:Bachelors,"$66,300","$102,800",47%
12,Rank:188,Major:Computer Science & Information Technology,Degree Type:Bachelors,"$66,000","$102,700",50%
13,Rank:188,Major:Food Marketing,Degree Type:Bachelors,"$56,300","$102,700",24%
14,Rank:190,Major:International Marketing,Degree Type:Bachelors,"$59,000","$102,600",22%
15,Rank:190,Major:Network Engineering,Degree Type:Bachelors,"$60,700","$102,600",55%
